protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GUT_GENOME084445_320___5592___7070___-___KKOGDCMD_02366	492	S1_46	459	4.3e-91	298.6	2	444	4	439	96.3	1	low		
GUT_GENOME070852_326___4783___6237___-___GEACAIOJ_02807	484	S1_46	459	3.4e-98	322.0	2	452	2	471	98.0	1	several good hits		 good hit with these HMMs: S1_46(322.0);S1_73(318.8);S1_59(320.9);S1_52(319.6);S1_55(318.7);S1_54(317.5);S1_79(301.7)
GUT_GENOME096460_307___18893___20359___+___ADMJHJAO_05498	488	S1_46	459	4.5e-150	493.0	2	456	2	445	98.9	1	high		
GUT_GENOME000264_13___5197___6660___-___EJGDIAPN_03488	487	S1_15	471	2.5e-170	560.1	2	468	2	465	98.9	1	high	3.1.6.4 	
GUT_GENOME091102_6___4834___6339___+___GEHODAGD_00824	501	S1_64	483	1.1e-188	621.1	1	483	3	491	99.8	1	high		
GUT_GENOME023674_85___13549___15045___-___KNNAIKAL_04956	498	S1_64	483	2.6e-193	636.4	1	483	3	486	99.8	1	high		
GUT_GENOME090241_149___2352___3689___-___BJLFBJEB_01554	445	S1_83	449	9.6e-221	726.0	2	442	2	445	98.0	1	high		
GUT_GENOME096460_21___19694___21043___-___ADMJHJAO_00696	449	S1_8	443	2e-122	401.8	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME023674_15___47173___48651___+___KNNAIKAL_01874	492	S1_46	459	8.9e-92	300.8	2	444	4	439	96.3	1	high		
GUT_GENOME080798_93___3759___5225___-___HAGIENJO_02297	488	S1_46	459	3e-202	665.0	2	458	6	471	99.3	1	high		
GUT_GENOME025112_51___16615___18081___-___LNFPPNAB_03967	488	S1_46	459	1.6e-150	494.4	2	456	2	445	98.9	1	high		
GUT_GENOME025112_8___81251___82726___-___LNFPPNAB_01026	491	S1_64	483	1.9e-220	725.9	1	483	3	487	99.8	1	high		
GUT_GENOME080798_25___24797___26266___+___HAGIENJO_00593	489	S1_61	451	4.7e-207	680.9	1	450	2	455	99.6	1	high		
GUT_GENOME004912_62___16053___17567___-___PBCFILAN_03062	504	S1_11	498	9.4e-187	614.5	7	489	2	498	96.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME082304_35___71741___73207___+___HJIBOKND_01576	488	S1_52	473	1.6e-224	738.9	2	472	2	485	99.4	1	high		
GUT_GENOME070852_93___4225___5700___+___GEACAIOJ_00892	491	S1_43	470	1.7e-225	741.9	2	470	3	468	99.6	1	high		
GUT_GENOME082873_166___14186___15655___-___INFABIKJ_05242	489	S1_61	451	4.7e-207	680.9	1	450	2	455	99.6	1	high		
GUT_GENOME082304_40___17793___19238___-___HJIBOKND_01940	481	S1_46	459	7.3e-195	640.6	2	457	3	462	99.1	1	high		
GUT_GENOME000264_9___164295___165644___-___EJGDIAPN_02770	449	S1_8	443	3.8e-122	400.9	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME082873_2___348___1892___-___INFABIKJ_00003	514	S1_108	495	3.8e-122	401.5	3	490	21	501	98.4	1	high		
GUT_GENOME096460_55___16440___17858___+___ADMJHJAO_01967	472	S1_27	454	9e-154	505.5	2	453	2	454	99.3	1	high	3.1.6.12 3.1.6.- 	
GUT_GENOME084445_500___2506___3843___+___KKOGDCMD_03653	445	S1_83	449	6.2e-221	726.6	2	442	2	445	98.0	1	high		
GUT_GENOME090241_124___10637___11401___-___BJLFBJEB_01311	254	S1_16	444	5e-84	275.1	215	435	27	247	49.5	1	probable fragment		
GUT_GENOME080798_137___18629___19993___-___HAGIENJO_03096	454	S1_30	463	6.2e-172	565.3	4	461	2	451	98.7	1	high		
GUT_GENOME025112_9___10629___12134___-___LNFPPNAB_01070	501	S1_64	483	5.1e-189	622.2	1	482	3	490	99.6	1	high		
GUT_GENOME025112_40___50899___52413___+___LNFPPNAB_03467	504	S1_11	498	2.4e-185	609.9	7	489	2	498	96.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME060853_9___79865___81391___+___JEGJLKHA_01012	508	S1_20	444	4.4e-191	628.2	2	437	26	503	98.0	1	high		
GUT_GENOME080798_204___9530___11005___-___HAGIENJO_04294	491	S1_64	483	1.9e-220	725.9	1	483	3	487	99.8	1	high		
GUT_GENOME093573_50___11937___13406___+___GEGFECFM_02924	489	S1_61	451	5.1e-208	684.1	1	450	2	455	99.6	1	high		
GUT_GENOME004912_30___31716___33029___+___PBCFILAN_01832	437	S1_46	459	8.7e-92	300.8	27	443	8	434	90.6	1	high		
GUT_GENOME096207_2___911704___911994___-___FPAHEDEG_04440	96	S1_56	526	4.9e-31	100.6	2	94	2	93	17.5	1	probable fragment		
GUT_GENOME096207_2___234666___236087___-___FPAHEDEG_03866	473	S1_99	469	2e-256	844.0	5	469	2	465	98.9	1	high		
GUT_GENOME004912_30___33048___34529___+___PBCFILAN_01833	493	S1_64	483	1e-219	723.4	1	483	3	487	99.8	1	high		
GUT_GENOME096460_117___13942___15492___+___ADMJHJAO_03287	516	S1_67	492	1.7e-209	689.1	2	491	3	494	99.4	1	high		
GUT_GENOME091102_99___20592___22055___+___GEHODAGD_04695	487	S1_55	499	1.8e-166	547.3	4	498	2	484	99.0	1	high		
GUT_GENOME090241_453___20730___22196___+___BJLFBJEB_04832	488	S1_46	459	1.6e-150	494.4	2	456	2	445	98.9	1	high		
GUT_GENOME000264_1___705482___706957___-___EJGDIAPN_00581	491	S1_43	470	1.7e-225	742.0	2	470	3	468	99.6	1	high		
GUT_GENOME025112_13___78935___80497___-___LNFPPNAB_01542	520	S1_46	459	1.1e-91	300.5	2	450	3	504	97.6	1	high		
GUT_GENOME082873_69___132788___134293___-___INFABIKJ_01942	501	S1_64	483	5.1e-189	622.2	1	482	3	490	99.6	1	high		
GUT_GENOME070852_476___24189___25658___+___GEACAIOJ_04024	489	S1_61	451	6.7e-208	683.7	1	450	2	455	99.6	1	high		
GUT_GENOME091102_172___3974___5440___-___GEHODAGD_05763	488	S1_46	459	6.1e-202	664.0	2	458	6	471	99.3	1	high		
GUT_GENOME082873_148___25117___26628___-___INFABIKJ_04551	503	S1_55	499	3.5e-245	806.9	2	499	2	500	99.6	1	high		
GUT_GENOME080798_25___16508___17974___-___HAGIENJO_00587	488	S1_46	459	1.6e-150	494.4	2	456	2	445	98.9	1	high		
GUT_GENOME090241_20___3749___5413___-___BJLFBJEB_00205	554	S1_46	459	1.6e-140	461.5	1	451	6	447	98.0	1	high		
GUT_GENOME070852_179___393___1955___-___GEACAIOJ_01571	520	S1_46	459	1.1e-91	300.5	2	450	3	504	97.6	1	high		
GUT_GENOME000264_22___90186___91697___+___EJGDIAPN_05002	503	S1_55	499	3.5e-245	806.9	2	499	2	500	99.6	1	high		
GUT_GENOME004912_105___18793___20157___+___PBCFILAN_04130	454	S1_14	426	5.2e-163	535.4	2	420	6	415	98.1	1	high		
GUT_GENOME096207_2___749530___750993___-___FPAHEDEG_04298	487	S1_15	471	9.3e-171	561.5	2	468	2	465	98.9	1	high	3.1.6.4 	
GUT_GENOME080798_115___32301___33722___-___HAGIENJO_02684	473	S1_99	469	1.7e-257	847.5	5	469	2	465	98.9	1	high		
GUT_GENOME100553_9___53623___54987___+___GOHFGBAI_01065	454	S1_46	459	1.7e-101	332.9	3	443	2	451	95.9	1	high		
GUT_GENOME096460_220___15534___17096___+___ADMJHJAO_04699	520	S1_46	459	2.4e-91	299.4	2	450	3	504	97.6	1	low		
GUT_GENOME096207_4___460274___461749___-___FPAHEDEG_06093	491	S1_43	470	2.1e-225	741.6	2	470	3	468	99.6	1	high		
GUT_GENOME082873_129___66710___68074___+___INFABIKJ_03844	454	S1_30	463	6.2e-172	565.3	4	461	2	451	98.7	1	high		
GUT_GENOME060853_18___3825___5372___-___JEGJLKHA_01592	515	S1_11	498	9.3e-238	782.8	5	483	25	512	96.0	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME090241_525___11726___13147___+___BJLFBJEB_05639	473	S1_99	469	1.7e-257	847.5	5	469	2	465	98.9	1	high		
GUT_GENOME063111_10___33411___34388___-___MLIDNPGI_01059	325	S1_14	426	4.2e-137	450.1	2	317	6	324	73.9	1	high		
GUT_GENOME096460_4___128850___130301___-___ADMJHJAO_00117	483	S1_26	443	4.8e-199	654.6	2	441	4	458	99.1	1	high		
GUT_GENOME060853_8___58862___60379___+___JEGJLKHA_00891	505	S1_46	459	9.5e-204	669.9	2	458	26	483	99.3	1	high		
GUT_GENOME096207_1___530087___531553___-___FPAHEDEG_00481	488	S1_52	473	1.5e-224	739.0	2	472	2	485	99.4	1	high		
GUT_GENOME000264_17___160952___162418___-___EJGDIAPN_04353	488	S1_46	459	3e-202	665.0	2	458	6	471	99.3	1	high		
GUT_GENOME093573_11___36646___38028___+___GEGFECFM_00972	460	S1_17	425	2.6e-129	424.5	2	410	6	453	96.0	1	high	3.1.6.- 	
GUT_GENOME100553_7___73993___75474___-___GOHFGBAI_00909	493	S1_108	495	3.5e-224	738.0	2	490	4	486	98.6	1	high		
GUT_GENOME029446_12___16394___17845___-___OCLNPGGP_01161	483	S1_95	479	5.1e-221	727.3	1	478	6	480	99.6	1	high		
GUT_GENOME100553_124___12972___14438___-___GOHFGBAI_05435	488	S1_46	459	3e-202	665.0	2	458	6	471	99.3	1	high		
GUT_GENOME090241_133___1586___3130___-___BJLFBJEB_01406	514	S1_108	495	2.3e-121	398.9	3	490	21	501	98.4	1	high		
GUT_GENOME096460_4___52343___53809___+___ADMJHJAO_00055	488	S1_52	473	4.1e-224	737.6	2	472	2	485	99.4	1	high		
GUT_GENOME084445_775___6475___7938___+___KKOGDCMD_05240	487	S1_15	471	4.6e-171	562.5	2	468	2	465	98.9	1	high	3.1.6.4 	
GUT_GENOME063111_43___28782___30251___-___MLIDNPGI_03341	489	S1_61	451	1.3e-207	682.8	1	450	2	455	99.6	1	high		
GUT_GENOME029446_6___60983___62449___-___OCLNPGGP_00691	488	S1_52	473	1.5e-224	739.0	2	472	2	485	99.4	1	high		
GUT_GENOME082304_57___96433___97797___-___HJIBOKND_02920	454	S1_30	463	6.2e-172	565.3	4	461	2	451	98.7	1	high		
GUT_GENOME025112_111___13752___15089___-___LNFPPNAB_05738	445	S1_83	449	1.8e-220	725.1	2	442	2	445	98.0	1	high		
GUT_GENOME082873_135___9258___10595___-___INFABIKJ_04076	445	S1_83	449	1.8e-220	725.1	2	442	2	445	98.0	1	high		
GUT_GENOME096207_1___448550___450001___+___FPAHEDEG_00412	483	S1_95	479	5.1e-221	727.3	1	478	6	480	99.6	1	high		
GUT_GENOME023674_6___100753___102228___+___KNNAIKAL_01079	491	S1_64	483	3.2e-220	725.1	1	483	3	487	99.8	1	high		
GUT_GENOME063111_52___13865___15361___+___MLIDNPGI_03707	498	S1_64	483	3.6e-194	639.2	1	483	3	486	99.8	1	high		
GUT_GENOME091102_132___14101___15438___-___GEHODAGD_05293	445	S1_83	449	6.9e-220	723.2	2	442	2	445	98.0	1	high		
GUT_GENOME082304_59___173347___174858___+___HJIBOKND_03225	503	S1_15	471	1.4e-170	560.9	2	468	18	481	98.9	1	high	3.1.6.4 	
GUT_GENOME004912_171___3930___5396___-___PBCFILAN_05213	488	S1_46	459	6.1e-202	664.0	2	458	6	471	99.3	1	high		
GUT_GENOME090241_439___7668___9230___+___BJLFBJEB_04682	520	S1_46	459	1.1e-91	300.5	2	450	3	504	97.6	1	high		
GUT_GENOME063111_1___90838___92313___-___MLIDNPGI_00103	491	S1_64	483	2.8e-220	725.3	1	483	3	487	99.8	1	high		
GUT_GENOME023674_104___14088___15425___-___KNNAIKAL_05366	445	S1_83	449	6.9e-220	723.2	2	442	2	445	98.0	1	high		
GUT_GENOME096207_1___1467546___1468928___+___FPAHEDEG_01324	460	S1_17	425	2e-129	424.8	2	410	6	453	96.0	1	high	3.1.6.- 	
GUT_GENOME100553_34___44437___45891___-___GOHFGBAI_02709	484	S1_46	459	3.4e-98	322.0	2	452	2	471	98.0	1	several good hits		 good hit with these HMMs: S1_59(321.9);S1_46(322.0);S1_73(318.4);S1_52(319.6);S1_55(318.9);S1_54(318.2)
GUT_GENOME093573_58___14287___15801___+___GEGFECFM_03216	504	S1_11	498	1.1e-187	617.6	7	489	2	498	96.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME000264_10___160100___161614___+___EJGDIAPN_02996	504	S1_11	498	2.4e-185	609.9	7	489	2	498	96.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME063111_46___13883___15499___-___MLIDNPGI_03448	538	S1_4	536	1.2e-177	584.6	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME082304_108___36324___37793___+___HJIBOKND_05813	489	S1_61	451	1.3e-207	682.8	1	450	2	455	99.6	1	high		
GUT_GENOME096207_3___460209___461627___+___FPAHEDEG_05095	472	S1_27	454	4.1e-155	509.9	2	453	2	454	99.3	1	high	3.1.6.12 3.1.6.- 	
GUT_GENOME100553_103___18366___19841___+___GOHFGBAI_05012	491	S1_43	470	1.7e-225	742.0	2	470	3	468	99.6	1	high		
GUT_GENOME084445_605___1749___3299___+___KKOGDCMD_04228	516	S1_67	492	3.4e-209	688.2	2	491	3	494	99.4	1	high		
GUT_GENOME090241_104___23097___24563___-___BJLFBJEB_01048	488	S1_52	473	7e-224	736.8	2	472	2	485	99.4	1	high		
GUT_GENOME082873_45___67448___68797___-___INFABIKJ_01187	449	S1_8	443	3.8e-122	400.9	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME063111_22___7380___8729___+___MLIDNPGI_02069	449	S1_8	443	5.1e-122	400.4	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME004912_101___5227___6738___-___PBCFILAN_04041	503	S1_15	471	1e-170	561.4	2	468	18	481	98.9	1	high	3.1.6.4 	
GUT_GENOME004912_25___33688___35052___-___PBCFILAN_01599	454	S1_30	463	1.5e-169	557.5	4	461	2	451	98.7	1	high		
GUT_GENOME070852_179___3487___5016___-___GEACAIOJ_01573	509	S1_52	473	1.4e-211	696.3	4	473	25	507	99.2	1	high		
GUT_GENOME100553_111___8448___9944___-___GOHFGBAI_05181	498	S1_64	483	3.6e-194	639.2	1	483	3	486	99.8	1	high		
GUT_GENOME093573_27___55650___57104___-___GEGFECFM_01934	484	S1_46	459	5.5e-98	321.3	2	452	2	471	98.0	1	several good hits		 good hit with these HMMs: S1_73(318.8);S1_46(321.3);S1_59(319.3);S1_55(318.5);S1_52(318.8);S1_54(317.2);S1_79(300.5)
GUT_GENOME070852_597___8191___9702___-___GEACAIOJ_05016	503	S1_55	499	3.5e-245	806.9	2	499	2	500	99.6	1	high		
GUT_GENOME090241_96___12687___14141___+___BJLFBJEB_00962	484	S1_46	459	3.4e-98	322.0	2	452	2	471	98.0	1	several good hits		 good hit with these HMMs: S1_59(321.9);S1_46(322.0);S1_73(318.4);S1_52(319.6);S1_55(318.9);S1_54(318.2)
GUT_GENOME080798_22___25743___27359___-___HAGIENJO_00546	538	S1_4	536	5.6e-179	588.9	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME004912_166___2291___3757___+___PBCFILAN_05151	488	S1_46	459	2.7e-150	493.7	2	456	2	445	98.9	1	high		
GUT_GENOME000264_1___208424___209842___-___EJGDIAPN_00163	472	S1_16	444	2.2e-177	582.8	2	435	2	465	97.5	1	high		
GUT_GENOME096460_307___4273___5748___-___ADMJHJAO_05489	491	S1_43	470	1.5e-225	742.1	2	470	3	468	99.6	1	high		
GUT_GENOME029446_128___9315___10733___+___OCLNPGGP_04878	472	S1_27	454	4.1e-155	509.9	2	453	2	454	99.3	1	high	3.1.6.12 3.1.6.- 	
GUT_GENOME090241_453___12438___13907___-___BJLFBJEB_04826	489	S1_61	451	4.7e-207	680.9	1	450	2	455	99.6	1	high		
GUT_GENOME060853_53___16549___18075___-___JEGJLKHA_03000	508	S1_15	471	7.3e-202	664.1	2	466	22	505	98.5	1	high	3.1.6.4 	
GUT_GENOME093573_149___6919___8517___+___GEGFECFM_05223	532	S1_4	536	6.6e-178	585.4	2	512	3	521	95.1	1	high	3.1.6.1 	
GUT_GENOME023674_9___79945___81363___-___KNNAIKAL_01383	472	S1_27	454	8.6e-154	505.6	2	453	2	454	99.3	1	high	3.1.6.12 3.1.6.- 	
GUT_GENOME080798_2___19083___20540___-___HAGIENJO_00031	485	S1_52	473	1.5e-211	696.2	4	473	1	483	99.2	1	high		
GUT_GENOME025112_31___70225___71736___+___LNFPPNAB_02885	503	S1_15	471	2.9e-170	559.9	2	468	18	481	98.9	1	high	3.1.6.4 	
GUT_GENOME023674_2___43126___44544___+___KNNAIKAL_00367	472	S1_16	444	6e-178	584.7	2	436	2	466	97.7	1	high		
GUT_GENOME063111_43___37068___38534___+___MLIDNPGI_03347	488	S1_46	459	2.2e-149	490.7	2	456	2	445	98.9	1	high		
GUT_GENOME025112_52___37210___38874___+___LNFPPNAB_04032	554	S1_46	459	1.6e-140	461.5	1	451	6	447	98.0	1	high		
GUT_GENOME091102_17___71308___72729___-___GEHODAGD_01716	473	S1_99	469	1e-257	848.3	5	469	2	465	98.9	1	high		
GUT_GENOME084445_595___6140___7558___+___KKOGDCMD_04184	472	S1_27	454	1.1e-154	508.6	2	453	2	454	99.3	1	high	3.1.6.12 3.1.6.- 	
GUT_GENOME000264_5___102101___103603___-___EJGDIAPN_01753	500	S1_82	464	2.1e-237	781.0	2	461	3	468	98.9	1	high		
GUT_GENOME063111_74___25074___26585___-___MLIDNPGI_04555	503	S1_55	499	3.5e-245	806.9	2	499	2	500	99.6	1	high		
GUT_GENOME082873_174___55843___57324___-___INFABIKJ_05578	493	S1_108	495	3.5e-224	738.0	2	490	4	486	98.6	1	high		
GUT_GENOME082873_67___67253___68755___+___INFABIKJ_01815	500	S1_82	464	2.1e-237	781.0	2	461	3	468	98.9	1	high		
GUT_GENOME090241_471___8796___10307___-___BJLFBJEB_05028	503	S1_55	499	3.5e-245	806.9	2	499	2	500	99.6	1	high		
GUT_GENOME091102_2___186883___188427___+___GEHODAGD_00426	514	S1_108	495	1.5e-122	402.8	3	490	21	501	98.4	1	high		
GUT_GENOME080798_157___14729___16231___+___HAGIENJO_03370	500	S1_82	464	2.1e-237	781.0	2	461	3	468	98.9	1	high		
GUT_GENOME082304_59___12843___14297___+___HJIBOKND_03087	484	S1_52	473	8.4e-98	321.1	2	466	2	471	98.1	1	several good hits		 good hit with these HMMs: S1_73(321.0);S1_52(321.1);S1_55(320.6);S1_59(320.3);S1_46(319.6);S1_54(318.3)
GUT_GENOME025112_13___82029___83486___-___LNFPPNAB_01544	485	S1_52	473	1.5e-211	696.2	4	473	1	483	99.2	1	high		
GUT_GENOME091102_32___25358___26779___+___GEHODAGD_02552	473	S1_27	454	1.3e-152	501.7	2	453	4	456	99.3	1	high	3.1.6.12 3.1.6.- 	
GUT_GENOME090241_20___2120___3736___-___BJLFBJEB_00204	538	S1_4	536	5.6e-179	588.9	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME029446_152___2540___3877___+___OCLNPGGP_05191	445	S1_83	449	5.5e-221	726.8	2	442	2	445	98.0	1	high		
GUT_GENOME000264_4___345673___347217___-___EJGDIAPN_01626	514	S1_108	495	3.8e-122	401.5	3	490	21	501	98.4	1	high		
GUT_GENOME023674_9___95691___97154___-___KNNAIKAL_01393	487	S1_55	499	1.8e-166	547.3	4	498	2	484	99.0	1	high		
GUT_GENOME082304_114___9258___10595___-___HJIBOKND_06080	445	S1_83	449	1.8e-220	725.1	2	442	2	445	98.0	1	high		
GUT_GENOME029446_149___8993___10459___+___OCLNPGGP_05160	488	S1_46	459	6.1e-202	664.0	2	458	6	471	99.3	1	high		
GUT_GENOME070852_364___10793___12175___+___GEACAIOJ_03121	460	S1_17	425	2.6e-129	424.5	2	410	6	453	96.0	1	high	3.1.6.- 	
GUT_GENOME023674_82___6339___7805___-___KNNAIKAL_04885	488	S1_46	459	2.8e-150	493.7	2	456	2	445	98.9	1	high		
GUT_GENOME090241_471___1473___2918___-___BJLFBJEB_05023	481	S1_46	459	7.3e-195	640.6	2	457	3	462	99.1	1	high		
GUT_GENOME096207_1___2770566___2772071___-___FPAHEDEG_02392	501	S1_64	483	3.5e-189	622.8	1	483	3	491	99.8	1	high		
GUT_GENOME093573_8___43137___44555___+___GEGFECFM_00766	472	S1_16	444	5.2e-178	584.9	2	436	2	466	97.7	1	high		
GUT_GENOME096207_2___491210___492547___-___FPAHEDEG_04098	445	S1_83	449	5.5e-221	726.8	2	442	2	445	98.0	1	high		
GUT_GENOME084445_488___5891___7357___-___KKOGDCMD_03581	488	S1_46	459	1.6e-150	494.4	2	456	2	445	98.9	1	high		
GUT_GENOME029446_3___15680___17482___-___OCLNPGGP_00345	600	S1_64	483	1.3e-223	736.2	1	483	3	495	99.8	1	high		
GUT_GENOME000264_16___82766___84130___-___EJGDIAPN_04105	454	S1_46	459	1.7e-101	332.9	3	443	2	451	95.9	1	high		
GUT_GENOME063111_43___22130___23605___-___MLIDNPGI_03337	491	S1_43	470	2.1e-225	741.6	2	470	3	468	99.6	1	high		
GUT_GENOME082304_57___156335___157801___-___HJIBOKND_02968	488	S1_46	459	2.9e-202	665.0	2	458	6	471	99.3	1	high		
GUT_GENOME025112_13___80524___82005___-___LNFPPNAB_01543	493	S1_108	495	3.5e-224	738.0	2	490	4	486	98.6	1	high		
GUT_GENOME096207_3___35539___36957___+___FPAHEDEG_04781	472	S1_16	444	8.6e-178	584.2	2	436	2	466	97.7	1	high		
GUT_GENOME025112_83___17751___19196___-___LNFPPNAB_05118	481	S1_46	459	7.3e-195	640.6	2	457	3	462	99.1	1	high		
GUT_GENOME100553_7___83220___84764___-___GOHFGBAI_00915	514	S1_108	495	3.8e-122	401.5	3	490	21	501	98.4	1	high		
GUT_GENOME029446_1___24706___26151___-___OCLNPGGP_00021	481	S1_46	459	6.5e-195	640.8	2	457	3	462	99.1	1	high		
GUT_GENOME063111_20___15252___16718___-___MLIDNPGI_01921	488	S1_52	473	1.6e-224	738.9	2	472	2	485	99.4	1	high		
GUT_GENOME093573_50___18628___20103___+___GEGFECFM_02928	491	S1_43	470	1.4e-225	742.2	2	470	3	468	99.6	1	high		
GUT_GENOME080798_22___27372___29036___-___HAGIENJO_00547	554	S1_46	459	1.6e-140	461.5	1	451	6	447	98.0	1	high		
GUT_GENOME084445_605___3334___4755___+___KKOGDCMD_04229	473	S1_27	454	2.4e-152	500.8	2	453	4	456	99.3	1	high	3.1.6.12 3.1.6.- 	
GUT_GENOME060853_18___256___1782___-___JEGJLKHA_01590	508	S1_46	459	2.8e-192	632.1	1	459	29	489	99.8	1	high		
GUT_GENOME096460_220___14026___15507___+___ADMJHJAO_04698	493	S1_108	495	5e-223	734.2	2	490	4	486	98.6	1	high		
GUT_GENOME080798_209___1368___2843___-___HAGIENJO_04339	491	S1_43	470	1.7e-225	742.0	2	470	3	468	99.6	1	high		
GUT_GENOME100553_103___3763___5229___-___GOHFGBAI_05003	488	S1_46	459	1.6e-150	494.4	2	456	2	445	98.9	1	high		
GUT_GENOME100553_32___32257___33678___-___GOHFGBAI_02599	473	S1_99	469	1.7e-257	847.5	5	469	2	465	98.9	1	high		
GUT_GENOME096460_316___22220___23716___+___ADMJHJAO_05721	498	S1_82	464	1.5e-236	778.1	2	461	3	468	98.9	1	high		
GUT_GENOME096460_164___4963___5619___-___ADMJHJAO_04122	218	S1_46	459	1e-33	109.4	273	444	2	165	37.3	1	probable fragment		
GUT_GENOME000264_23___75348___77012___-___EJGDIAPN_05075	554	S1_46	459	1.6e-140	461.5	1	451	6	447	98.0	1	high		
GUT_GENOME082304_18___88714___90189___+___HJIBOKND_00809	491	S1_64	483	2.8e-220	725.3	1	483	3	487	99.8	1	high		
GUT_GENOME004912_34___5486___6904___-___PBCFILAN_01995	472	S1_16	444	8.6e-178	584.2	2	436	2	466	97.7	1	high		
GUT_GENOME082304_108___80537___82033___+___HJIBOKND_05846	498	S1_64	483	3.6e-194	639.2	1	483	3	486	99.8	1	high		
GUT_GENOME070852_67___179___1528___-___GEACAIOJ_00647	449	S1_8	443	3.8e-122	400.9	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME090241_234___5294___6805___-___BJLFBJEB_02584	503	S1_15	471	2.9e-170	559.9	2	468	18	481	98.9	1	high	3.1.6.4 	
GUT_GENOME070852_40___4108___5571___+___GEACAIOJ_00288	487	S1_15	471	1.2e-170	561.2	2	468	2	465	98.9	1	high	3.1.6.4 	
GUT_GENOME096207_1___1023307___1024752___+___FPAHEDEG_00917	481	S1_46	459	6.5e-195	640.8	2	457	3	462	99.1	1	high		
GUT_GENOME080798_21___27133___28482___+___HAGIENJO_00450	449	S1_8	443	3.8e-122	400.9	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME070852_70___29032___30396___-___GEACAIOJ_00706	454	S1_30	463	6.2e-170	558.7	4	461	2	451	98.7	1	high		
GUT_GENOME000264_6___87048___88469___+___EJGDIAPN_02036	473	S1_99	469	1.7e-257	847.5	5	469	2	465	98.9	1	high		
GUT_GENOME025112_5___114126___115580___-___LNFPPNAB_00686	484	S1_46	459	3.4e-98	322.0	2	452	2	471	98.0	1	several good hits		 good hit with these HMMs: S1_59(321.9);S1_46(322.0);S1_73(318.4);S1_52(319.6);S1_55(318.9);S1_54(318.2)
GUT_GENOME096207_1___1015918___1017429___+___FPAHEDEG_00912	503	S1_55	499	1.2e-243	801.8	2	499	2	500	99.6	1	high		
GUT_GENOME091102_92___12028___13497___+___GEHODAGD_04546	489	S1_61	451	3.7e-208	684.6	1	450	2	455	99.6	1	high		
GUT_GENOME084445_384___3641___5005___-___KKOGDCMD_02875	454	S1_30	463	7.8e-169	555.1	4	461	2	451	98.7	1	high		
GUT_GENOME084445_595___24___473___+___KKOGDCMD_04180	149	S1_55	499	9.7e-45	145.7	352	498	2	146	29.3	1	probable fragment		
GUT_GENOME080798_239___25117___26628___-___HAGIENJO_05039	503	S1_55	499	3.5e-245	806.9	2	499	2	500	99.6	1	high		
GUT_GENOME091102_1___301337___302755___-___GEHODAGD_00238	472	S1_16	444	6e-178	584.7	2	436	2	466	97.7	1	high		
GUT_GENOME025112_37___58013___59362___-___LNFPPNAB_03279	449	S1_8	443	3.8e-122	400.9	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME025112_10___97920___99338___-___LNFPPNAB_01238	472	S1_16	444	2.2e-177	582.8	2	435	2	465	97.5	1	high		
GUT_GENOME004912_197___6246___7862___+___PBCFILAN_05514	538	S1_4	536	2.4e-178	586.8	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME023674_44___24066___25571___-___KNNAIKAL_03580	501	S1_64	483	1.1e-188	621.1	1	483	3	491	99.8	1	high		
GUT_GENOME070852_573___1833___3497___-___GEACAIOJ_04766	554	S1_46	459	1.6e-140	461.5	1	451	6	447	98.0	1	high		
GUT_GENOME091102_18___68191___69642___+___GEHODAGD_01784	483	S1_26	443	8.1e-199	653.9	2	441	4	458	99.1	1	high		
GUT_GENOME090241_440___4958___6322___+___BJLFBJEB_04700	454	S1_30	463	6.2e-172	565.3	4	461	2	451	98.7	1	high		
GUT_GENOME096207_4___466950___468419___-___FPAHEDEG_06097	489	S1_61	451	4.8e-208	684.2	1	450	2	455	99.6	1	high		
GUT_GENOME004912_88___1753___3258___-___PBCFILAN_03752	501	S1_64	483	3.5e-189	622.8	1	483	3	491	99.8	1	high		
GUT_GENOME082873_129___4416___5882___+___INFABIKJ_03795	488	S1_46	459	3e-202	665.0	2	458	6	471	99.3	1	high		
