protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GUT_GENOME243875.faa|JGILPMII_01566	573	S1_16	444	1.7e-156	514.0	2	433	46	553	97.1	1	high		
GUT_GENOME255768.faa|AIBCMJDB_00322	206	S1_20	444	7.6e-50	162.7	2	143	23	174	31.8	1	probable fragment		
GUT_GENOME002882.faa|OALMGJLK_00093	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME225332.faa|NAFIBCMC_00089	523	S1_4	536	2.5e-145	477.9	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME261354.faa|MNGKDDCB_01436	719	S1_20	444	1.6e-131	431.9	2	431	35	541	96.6	1	high		
GUT_GENOME281127.faa|HDJCHFBC_02148	585	S1_11	498	5.5e-177	582.3	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME175440.faa|LHGNBIBK_02140	526	S1_15	471	2.9e-184	606.1	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME131327.faa|DDMHHACP_02171	552	S1_11	498	1.2e-194	640.6	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME212734.faa|DAPHOKIH_01175	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME153556.faa|MANFFFOG_00029	519	S1_20	444	1.1e-125	412.7	3	428	26	512	95.7	1	high		
GUT_GENOME133357.faa|BOFHGJAD_00152	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME266648.faa|MBLLBCNE_00916	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME210632.faa|BFOLBKID_00316	465	S1_19	430	1.2e-151	498.0	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME155462.faa|LNIPPHIK_01282	526	S1_15	471	2e-184	606.6	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME212734.faa|DAPHOKIH_01495	523	S1_4	536	3.5e-147	484.0	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME218696.faa|NHAGJDJP_00003	523	S1_4	536	2.5e-145	477.9	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME157481.faa|PPOMAIBF_01990	523	S1_4	536	1.3e-146	482.2	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME153556.faa|MANFFFOG_00024	523	S1_4	536	2e-146	481.5	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME182942.faa|CPIEBKMC_01942	573	S1_16	444	1.7e-156	514.0	2	433	46	553	97.1	1	high		
GUT_GENOME217481.faa|CCANEHMM_01014	585	S1_11	498	6.2e-177	582.2	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME156599.faa|HAKEHGPD_01982	585	S1_11	498	6.2e-177	582.2	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME217481.faa|CCANEHMM_01859	523	S1_4	536	6.9e-147	483.0	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME230538.faa|GMNHGJCE_00246	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME133357.faa|BOFHGJAD_01687	581	S1_11	498	3.2e-176	579.8	6	483	28	559	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME279346.faa|IOKMLEKC_02131	573	S1_16	444	1.7e-156	514.0	2	433	46	553	97.1	1	high		
GUT_GENOME153556.faa|MANFFFOG_02108	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME128755.faa|HDOKFKAO_01801	526	S1_15	471	2.9e-184	606.1	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME157481.faa|PPOMAIBF_01287	585	S1_11	498	5.3e-177	582.4	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME259335.faa|JIKEIINB_00409	719	S1_20	444	1.1e-130	429.2	2	431	35	541	96.6	1	high		
GUT_GENOME106453.faa|LNIDCBHM_00699	552	S1_11	498	1.2e-194	640.6	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME105409.faa|BIPPCPIG_00873	519	S1_20	444	1.1e-125	412.7	3	428	26	512	95.7	1	high		
GUT_GENOME242083.faa|HJBPLOEH_00198	526	S1_15	471	4.6e-184	605.4	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME261354.faa|MNGKDDCB_00550	465	S1_19	430	1.1e-150	494.7	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME265600.faa|LCKAFMKK_01549	322	S1_11	498	4.2e-89	292.4	237	483	44	300	49.4	1	probable fragment		
GUT_GENOME164131.faa|GHEPHDMH_00233	523	S1_4	536	2.7e-146	481.1	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME139599.faa|EILHAPEM_01536	465	S1_19	430	4.6e-152	499.3	3	426	28	452	98.4	1	high	3.1.6.- 	
GUT_GENOME133357.faa|BOFHGJAD_00346	552	S1_11	498	1.2e-194	640.6	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME128755.faa|HDOKFKAO_01568	616	S1_20	444	2e-131	431.6	2	431	35	541	96.6	1	high		
GUT_GENOME225332.faa|NAFIBCMC_02294	573	S1_16	444	2.3e-156	513.5	2	433	46	553	97.1	1	high		
GUT_GENOME224243.faa|KAFIPNAD_00937	526	S1_15	471	1.9e-184	606.7	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME224243.faa|KAFIPNAD_01462	519	S1_20	444	1.1e-125	412.7	3	428	26	512	95.7	1	high		
GUT_GENOME243875.faa|JGILPMII_01382	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME106453.faa|LNIDCBHM_01064	465	S1_19	430	1.9e-151	497.2	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME038088.faa|NBIAGOBD_02238	562	S1_16	444	4.1e-156	512.7	2	433	35	542	97.1	1	high		
GUT_GENOME106453.faa|LNIDCBHM_00529	719	S1_20	444	1.4e-131	432.1	2	431	35	541	96.6	1	high		
GUT_GENOME063485.faa|IFAHCEJC_02101	581	S1_11	498	5.1e-177	582.4	6	483	28	559	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME155462.faa|LNIPPHIK_01517	1414	S1_20	444	8.8e-129	422.9	2	436	503	1014	97.7	1	high		
GUT_GENOME261354.faa|MNGKDDCB_00467	500	S1_20	444	1.6e-154	507.7	2	436	24	489	97.7	1	high		
GUT_GENOME104567.faa|MBCABGCL_02046	552	S1_11	498	1.6e-195	643.5	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME265600.faa|LCKAFMKK_00096	1414	S1_20	444	9.9e-129	422.7	2	436	503	1014	97.7	1	high		
GUT_GENOME261354.faa|MNGKDDCB_00506	561	S1_16	444	1e-152	501.6	2	433	34	540	97.1	1	high		
GUT_GENOME131327.faa|DDMHHACP_00621	561	S1_16	444	4.5e-152	499.4	2	433	34	540	97.1	1	high		
GUT_GENOME164131.faa|GHEPHDMH_00313	506	S1_20	444	2.1e-154	507.3	3	436	31	495	97.5	1	high		
GUT_GENOME230538.faa|GMNHGJCE_00482	526	S1_15	471	2.5e-184	606.3	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME281127.faa|HDJCHFBC_00098	500	S1_20	444	9.2e-155	508.5	2	436	24	489	97.7	1	high		
GUT_GENOME044384.faa|GBDGKCGM_01016	519	S1_20	444	2.8e-125	411.4	3	428	26	512	95.7	1	high		
GUT_GENOME247481.faa|MONJFGFO_00907	554	S1_16	444	1.1e-152	501.4	2	433	27	533	97.1	1	high		
GUT_GENOME255768.faa|AIBCMJDB_01525	1414	S1_20	444	1e-128	422.7	2	436	503	1014	97.7	1	high		
GUT_GENOME182942.faa|CPIEBKMC_01167	400	S1_11	498	1.6e-113	373.0	140	483	3	378	68.9	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME156599.faa|HAKEHGPD_00361	573	S1_16	444	1.7e-156	514.0	2	433	46	553	97.1	1	high		
GUT_GENOME182942.faa|CPIEBKMC_01408	526	S1_15	471	2.5e-184	606.3	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME255768.faa|AIBCMJDB_01826	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME281127.faa|HDJCHFBC_01633	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME153556.faa|MANFFFOG_00141	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME092915.faa|AGMFLMNB_00350	1414	S1_20	444	8.8e-129	422.9	2	436	503	1014	97.7	1	high		
GUT_GENOME105409.faa|BIPPCPIG_01405	573	S1_16	444	1.7e-156	514.0	2	433	46	553	97.1	1	high		
GUT_GENOME210632.faa|BFOLBKID_00429	523	S1_4	536	4e-148	487.1	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME106453.faa|LNIDCBHM_02168	1414	S1_20	444	8.3e-129	423.0	2	436	503	1014	97.7	1	high		
GUT_GENOME106453.faa|LNIDCBHM_00288	561	S1_16	444	6.9e-153	502.1	2	433	34	540	97.1	1	high		
GUT_GENOME038088.faa|NBIAGOBD_01325	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME104567.faa|MBCABGCL_00033	519	S1_20	444	1.1e-125	412.7	3	428	26	512	95.7	1	high		
GUT_GENOME212734.faa|DAPHOKIH_00294	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME063485.faa|IFAHCEJC_02250	523	S1_4	536	1.3e-147	485.4	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME106453.faa|LNIDCBHM_00644	523	S1_4	536	1.1e-146	482.3	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME104157.faa|BLNHLLKH_00032	519	S1_20	444	1.1e-125	412.7	3	428	26	512	95.7	1	high		
GUT_GENOME114677.faa|IKGKJEHL_02533	1414	S1_20	444	3.1e-128	421.1	2	436	503	1014	97.7	1	high		
GUT_GENOME175440.faa|LHGNBIBK_00100	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME105409.faa|BIPPCPIG_00868	523	S1_4	536	6.9e-147	483.0	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME085794.faa|NMDHGMDJ_00498	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME279346.faa|IOKMLEKC_01816	465	S1_19	430	1.2e-151	498.0	3	427	28	453	98.6	1	high	3.1.6.- 	
GUT_GENOME253684.faa|MDAFMJHG_01634	552	S1_11	498	1.3e-194	640.5	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME155462.faa|LNIPPHIK_00972	719	S1_20	444	1.7e-131	431.8	2	431	35	541	96.6	1	high		
GUT_GENOME104567.faa|MBCABGCL_01903	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME153556.faa|MANFFFOG_01404	1414	S1_20	444	7.5e-128	419.8	2	436	503	1014	97.7	1	high		
GUT_GENOME003953.faa|LBKMNOIF_01838	573	S1_16	444	2.3e-156	513.5	2	433	46	553	97.1	1	high		
GUT_GENOME265600.faa|LCKAFMKK_01725	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME106990.faa|LKBJOKJK_01236	1414	S1_20	444	8.8e-129	422.9	2	436	503	1014	97.7	1	high		
GUT_GENOME063485.faa|IFAHCEJC_01958	465	S1_19	430	1e-151	498.2	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME104567.faa|MBCABGCL_01554	581	S1_11	498	5.5e-177	582.3	6	483	28	559	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME218696.faa|NHAGJDJP_01685	561	S1_16	444	3.3e-152	499.9	2	433	34	540	97.1	1	high		
GUT_GENOME092915.faa|AGMFLMNB_00099	499	S1_20	444	2e-154	507.4	3	436	24	488	97.5	1	high		
GUT_GENOME003953.faa|LBKMNOIF_00295	519	S1_20	444	2e-125	411.8	3	428	26	512	95.7	1	high		
GUT_GENOME225332.faa|NAFIBCMC_00094	519	S1_20	444	2e-125	411.8	3	428	26	512	95.7	1	high		
GUT_GENOME104157.faa|BLNHLLKH_00027	523	S1_4	536	6.9e-147	483.0	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME212734.faa|DAPHOKIH_01837	526	S1_15	471	2.9e-184	606.1	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME020550.faa|GDEADFIN_02258	573	S1_16	444	1.3e-154	507.8	2	432	46	552	96.8	1	high		
GUT_GENOME266648.faa|MBLLBCNE_02199	573	S1_16	444	2.3e-156	513.5	2	433	46	553	97.1	1	high		
GUT_GENOME247481.faa|MONJFGFO_00240	552	S1_11	498	1.2e-194	640.6	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME175440.faa|LHGNBIBK_01573	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME092915.faa|AGMFLMNB_00142	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME106453.faa|LNIDCBHM_00569	500	S1_20	444	5.8e-155	509.2	2	436	24	489	97.7	1	high		
GUT_GENOME253684.faa|MDAFMJHG_00301	523	S1_4	536	1.8e-147	485.0	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME133357.faa|BOFHGJAD_01479	519	S1_20	444	4.4e-126	414.0	3	428	26	512	95.7	1	high		
GUT_GENOME133357.faa|BOFHGJAD_01653	561	S1_16	444	1.2e-152	501.3	2	433	34	540	97.1	1	high		
GUT_GENOME104567.faa|MBCABGCL_00936	526	S1_15	471	1.9e-184	606.7	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME243875.faa|JGILPMII_01090	523	S1_4	536	1.8e-147	485.0	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME230538.faa|GMNHGJCE_00835	585	S1_11	498	8.8e-177	581.7	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME157481.faa|PPOMAIBF_01884	526	S1_15	471	5.2e-183	601.9	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME105409.faa|BIPPCPIG_00153	506	S1_20	444	2.1e-154	507.3	3	436	31	495	97.5	1	high		
GUT_GENOME157481.faa|PPOMAIBF_00759	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME063485.faa|IFAHCEJC_00451	719	S1_20	444	1.6e-131	432.0	2	431	35	541	96.6	1	high		
GUT_GENOME175440.faa|LHGNBIBK_02028	573	S1_16	444	1.7e-156	514.0	2	433	46	553	97.1	1	high		
GUT_GENOME092915.faa|AGMFLMNB_01041	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME131327.faa|DDMHHACP_01158	1414	S1_20	444	8e-129	423.0	2	436	503	1014	97.7	1	high		
GUT_GENOME230538.faa|GMNHGJCE_02007	552	S1_11	498	6.3e-195	641.5	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME038088.faa|NBIAGOBD_01280	500	S1_20	444	2.9e-155	510.2	2	436	24	489	97.7	1	high		
GUT_GENOME003953.faa|LBKMNOIF_00728	561	S1_16	444	1e-152	501.6	2	433	34	540	97.1	1	high		
GUT_GENOME161266.faa|DDBLOCLM_00539	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME086530.faa|DPFJJPCF_01542	552	S1_11	498	1.3e-194	640.5	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME157481.faa|PPOMAIBF_00213	561	S1_16	444	2.3e-152	500.4	2	433	34	540	97.1	1	high		
GUT_GENOME225332.faa|NAFIBCMC_00206	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME044384.faa|GBDGKCGM_01495	526	S1_15	471	3.7e-184	605.7	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME092915.faa|AGMFLMNB_00972	561	S1_16	444	1e-152	501.6	2	433	34	540	97.1	1	high		
GUT_GENOME273078.faa|BNFHDNKD_00885	519	S1_20	444	1.1e-125	412.7	3	428	26	512	95.7	1	high		
GUT_GENOME255768.faa|AIBCMJDB_01385	585	S1_11	498	5.3e-177	582.4	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME156599.faa|HAKEHGPD_02264	1414	S1_20	444	6.8e-129	423.3	2	436	503	1014	97.7	1	high		
GUT_GENOME255768.faa|AIBCMJDB_00866	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME003953.faa|LBKMNOIF_01949	581	S1_11	498	5.1e-177	582.4	6	483	28	559	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME273247.faa|MKHLHNEA_01561	465	S1_19	430	4.6e-152	499.3	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME238652.faa|LEPGJKAB_01578	500	S1_20	444	5.2e-155	509.4	2	436	24	489	97.7	1	high		
GUT_GENOME104157.faa|BLNHLLKH_01723	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME253684.faa|MDAFMJHG_02357	1414	S1_20	444	8.8e-129	422.9	2	436	503	1014	97.7	1	high		
GUT_GENOME212734.faa|DAPHOKIH_00976	561	S1_16	444	2.9e-152	500.0	2	433	34	540	97.1	1	high		
GUT_GENOME161266.faa|DDBLOCLM_01317	237	S1_20	444	9.1e-67	218.5	219	436	6	226	48.9	1	probable fragment		
GUT_GENOME155462.faa|LNIPPHIK_00031	562	S1_16	444	4.1e-156	512.7	2	433	35	542	97.1	1	high		
GUT_GENOME281127.faa|HDJCHFBC_01865	562	S1_16	444	3.8e-156	512.8	2	433	35	542	97.1	1	high		
GUT_GENOME253684.faa|MDAFMJHG_00184	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME217481.faa|CCANEHMM_02186	465	S1_19	430	8e-151	495.2	3	426	28	452	98.4	1	high	3.1.6.- 	
GUT_GENOME003953.faa|LBKMNOIF_01359	465	S1_19	430	4.6e-152	499.3	3	426	28	452	98.4	1	high	3.1.6.- 	
GUT_GENOME273078.faa|BNFHDNKD_00114	561	S1_16	444	2.3e-152	500.4	2	433	34	540	97.1	1	high		
GUT_GENOME161266.faa|DDBLOCLM_01268	585	S1_11	498	4.2e-178	586.0	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME182942.faa|CPIEBKMC_00282	523	S1_4	536	1.8e-147	485.0	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME020550.faa|GDEADFIN_00140	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME279346.faa|IOKMLEKC_00058	523	S1_4	536	1.8e-147	485.0	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME210632.faa|BFOLBKID_02220	218	S1_20	444	1.7e-59	194.6	237	436	5	207	44.8	1	probable fragment		
GUT_GENOME259335.faa|JIKEIINB_00988	554	S1_16	444	1.7e-152	500.8	2	433	27	533	97.1	1	high		
GUT_GENOME266648.faa|MBLLBCNE_02237	585	S1_11	498	1e-175	578.2	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME182942.faa|CPIEBKMC_00627	465	S1_19	430	1.2e-151	498.0	3	427	28	453	98.6	1	high	3.1.6.- 	
GUT_GENOME085794.faa|NMDHGMDJ_02134	526	S1_15	471	4.6e-184	605.4	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME260853.faa|IKEKDHGI_02400	585	S1_11	498	5.3e-177	582.4	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME230538.faa|GMNHGJCE_01323	561	S1_16	444	2.9e-152	500.0	2	433	34	540	97.1	1	high		
GUT_GENOME133357.faa|BOFHGJAD_01877	526	S1_15	471	2e-184	606.6	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME104157.faa|BLNHLLKH_01574	552	S1_11	498	1.6e-195	643.5	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME063485.faa|IFAHCEJC_00035	561	S1_16	444	3.2e-153	503.2	2	433	34	540	97.1	1	high		
GUT_GENOME218696.faa|NHAGJDJP_01892	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME020550.faa|GDEADFIN_00069	519	S1_20	444	2e-125	411.8	3	428	26	512	95.7	1	high		
GUT_GENOME273078.faa|BNFHDNKD_00968	526	S1_15	471	1.9e-184	606.7	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME114677.faa|IKGKJEHL_00374	519	S1_20	444	1.9e-125	411.9	3	428	26	512	95.7	1	high		
GUT_GENOME255768.faa|AIBCMJDB_01985	465	S1_19	430	4.6e-152	499.3	3	426	28	452	98.4	1	high	3.1.6.- 	
GUT_GENOME225332.faa|NAFIBCMC_00415	1414	S1_20	444	1e-128	422.7	2	436	503	1014	97.7	1	high		
GUT_GENOME106990.faa|LKBJOKJK_01719	526	S1_15	471	4.6e-184	605.4	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME182942.faa|CPIEBKMC_00287	519	S1_20	444	1.1e-125	412.7	3	428	26	512	95.7	1	high		
GUT_GENOME261354.faa|MNGKDDCB_00440	552	S1_11	498	1.2e-194	640.6	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME139599.faa|EILHAPEM_01741	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME265600.faa|LCKAFMKK_00571	519	S1_20	444	2e-125	411.8	3	428	26	512	95.7	1	high		
GUT_GENOME224243.faa|KAFIPNAD_01317	562	S1_16	444	2.1e-156	513.7	2	433	35	542	97.1	1	high		
GUT_GENOME224243.faa|KAFIPNAD_01925	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME210632.faa|BFOLBKID_01668	526	S1_15	471	2e-184	606.6	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME273078.faa|BNFHDNKD_00816	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME255768.faa|AIBCMJDB_00321	467	S1_20	444	3.9e-74	242.8	178	425	5	292	55.6	1	probable fragment		
GUT_GENOME020550.faa|GDEADFIN_01976	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME260853.faa|IKEKDHGI_02276	519	S1_20	444	5.8e-126	413.6	3	428	26	512	95.7	1	high		
GUT_GENOME164131.faa|GHEPHDMH_01011	465	S1_19	430	5.1e-152	499.2	3	426	28	452	98.4	1	high	3.1.6.- 	
GUT_GENOME020550.faa|GDEADFIN_00182	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME253684.faa|MDAFMJHG_00296	519	S1_20	444	1.1e-125	412.7	3	428	26	512	95.7	1	high		
GUT_GENOME273247.faa|MKHLHNEA_00195	719	S1_20	444	1.7e-131	431.9	2	431	35	541	96.6	1	high		
GUT_GENOME131327.faa|DDMHHACP_00136	719	S1_20	444	2.7e-131	431.2	2	431	35	541	96.6	1	high		
GUT_GENOME153556.faa|MANFFFOG_02217	581	S1_11	498	5.1e-177	582.4	6	483	28	559	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME153556.faa|MANFFFOG_00618	467	S1_20	444	5.8e-74	242.2	178	424	5	291	55.4	1	probable fragment		
GUT_GENOME155462.faa|LNIPPHIK_00858	523	S1_4	536	1.6e-146	481.8	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME044384.faa|GBDGKCGM_01011	523	S1_4	536	1.3e-146	482.1	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME044384.faa|GBDGKCGM_01206	465	S1_19	430	4.6e-152	499.3	3	426	28	452	98.4	1	high	3.1.6.- 	
GUT_GENOME020550.faa|GDEADFIN_00654	561	S1_16	444	1e-152	501.6	2	433	34	540	97.1	1	high		
GUT_GENOME242083.faa|HJBPLOEH_02091	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME217481.faa|CCANEHMM_01146	506	S1_20	444	2.1e-154	507.3	3	436	31	495	97.5	1	high		
GUT_GENOME218696.faa|NHAGJDJP_01322	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME106990.faa|LKBJOKJK_01371	585	S1_11	498	1e-175	578.2	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME261354.faa|MNGKDDCB_00978	585	S1_11	498	9.3e-177	581.6	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME212734.faa|DAPHOKIH_00689	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME273247.faa|MKHLHNEA_01063	1414	S1_20	444	1.2e-128	422.4	2	436	503	1014	97.7	1	high		
GUT_GENOME063485.faa|IFAHCEJC_01072	1414	S1_20	444	1.5e-128	422.1	2	436	503	1014	97.7	1	high		
GUT_GENOME247481.faa|MONJFGFO_00251	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME106990.faa|LKBJOKJK_01650	523	S1_4	536	2.5e-145	477.9	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME225332.faa|NAFIBCMC_01765	526	S1_15	471	4.6e-184	605.4	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME224243.faa|KAFIPNAD_01177	465	S1_19	430	1.2e-151	498.0	3	427	28	453	98.6	1	high	3.1.6.- 	
GUT_GENOME003953.faa|LBKMNOIF_00300	523	S1_4	536	2.5e-145	477.9	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME258945.faa|FOHCDBNE_00368	535	S1_4	536	5.3e-147	483.4	2	508	26	523	94.4	1	high	3.1.6.1 	
GUT_GENOME164131.faa|GHEPHDMH_01781	573	S1_16	444	1.7e-156	514.0	2	433	46	553	97.1	1	high		
GUT_GENOME260853.faa|IKEKDHGI_02281	523	S1_4	536	2.8e-148	487.6	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME002882.faa|OALMGJLK_00335	388	S1_20	444	1.5e-94	310.1	3	271	26	337	60.4	1	high		
GUT_GENOME225332.faa|NAFIBCMC_00886	581	S1_11	498	5.1e-177	582.4	6	483	28	559	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME105409.faa|BIPPCPIG_01589	1414	S1_20	444	1.1e-127	419.2	2	436	503	1014	97.7	1	high		
GUT_GENOME114677.faa|IKGKJEHL_01417	581	S1_11	498	5.1e-177	582.4	6	483	28	559	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME153556.faa|MANFFFOG_01308	561	S1_16	444	2.9e-152	500.1	2	433	34	540	97.1	1	high		
