genus	familyGroup	category	copy number
Streptococcus	PL	numberCAZyGenes	1.4953703703703705
Streptococcus	PL	numberUniqueCAZyFamilies	1.4398148148148149
Subdoligranulum	CBM	numberCAZyGenes	4.5245098039215685
Subdoligranulum	CBM	numberUniqueCAZyFamilies	2.519607843137255
Subdoligranulum	CE	numberCAZyGenes	6.509009009009009
Subdoligranulum	CE	numberUniqueCAZyFamilies	2.509009009009009
Subdoligranulum	GH	numberCAZyGenes	32.288990825688074
Subdoligranulum	GH	numberUniqueCAZyFamilies	14.6651376146789
Subdoligranulum	GT	numberCAZyGenes	32.7027027027027
Subdoligranulum	GT	numberUniqueCAZyFamilies	6.653153153153153
Treponema	CBM	numberCAZyGenes	12.158954248366014
Treponema	CBM	numberUniqueCAZyFamilies	4.485359477124183
Treponema	CE	numberCAZyGenes	2.488562091503268
Treponema	CE	numberUniqueCAZyFamilies	1.7450980392156863
Treponema	GH	numberCAZyGenes	35.0735294117647
Treponema	GH	numberUniqueCAZyFamilies	23.28908496732026
Treponema	GT	numberCAZyGenes	26.312614379084966
Treponema	GT	numberUniqueCAZyFamilies	9.420718954248366
Treponema	PL	numberCAZyGenes	10
Treponema	PL	numberUniqueCAZyFamilies	6
Turicibacter	CBM	numberCAZyGenes	10.972222222222221
Turicibacter	CBM	numberUniqueCAZyFamilies	7.305555555555555
Turicibacter	CE	numberCAZyGenes	13.833333333333332
Turicibacter	CE	numberUniqueCAZyFamilies	4.611111111111111
Turicibacter	GH	numberCAZyGenes	45.52777777777777
Turicibacter	GH	numberUniqueCAZyFamilies	25.27777777777778
Turicibacter	GT	numberCAZyGenes	30.75
Turicibacter	GT	numberUniqueCAZyFamilies	8.333333333333332
Turicibacter	PL	numberCAZyGenes	1.75
Turicibacter	PL	numberUniqueCAZyFamilies	1.75
Tyzzerella	CBM	numberCAZyGenes	16.51388888888889
Tyzzerella	CBM	numberUniqueCAZyFamilies	4.9375
Tyzzerella	CE	numberCAZyGenes	5.982638888888889
Tyzzerella	CE	numberUniqueCAZyFamilies	2.1527777777777777
Tyzzerella	GH	numberCAZyGenes	32.71527777777778
Tyzzerella	GH	numberUniqueCAZyFamilies	20.20138888888889
Tyzzerella	GT	numberCAZyGenes	19.385416666666668
Tyzzerella	GT	numberUniqueCAZyFamilies	7.423611111111111
Tyzzerella	PL	numberCAZyGenes	1.1666666666666665
Tyzzerella	PL	numberUniqueCAZyFamilies	1.2222222222222223
